Model,Manufacturer,Architecture,Foundry,ReleaseDate,TransistorCount_B,TDP_W,ProcessSize_nm,DieSize_mm2,TFLOPS,MemoryBandwidth_GBs,BaseClock_MHz,BoostClock_MHz,TransistorDensity_M_mm2,MemorySize_GB,MemoryType,ShadingUnits
RV570,ATI,Ultra-Threaded SE,TSMC,2007-01-29,0.312,57,80,230.0,,38.4,500.0,500.0,1.4,0.25,GDDR3,
RV570,ATI,Ultra-Threaded SE,TSMC,2007-02-10,0.312,57,80,230.0,,38.4,500.0,500.0,1.4,0.25,GDDR3,
RV570,ATI,Ultra-Threaded SE,TSMC,2007-01-10,0.312,130,80,230.0,,44.16,575.0,575.0,1.4,0.5,GDDR3,
R580+,ATI,Ultra-Threaded SE,TSMC,2007-01-19,0.384,125,90,352.0,,67.2,670.0,670.0,1.1,0.5,GDDR4,
RV410,ATI,R400,TSMC,2007-01-24,0.12,,110,156.0,,9.6,400.0,400.0,0.7692,0.128,GDDR3,
RV410,ATI,R400,TSMC,2007-01-24,0.12,,110,156.0,,4.8,400.0,400.0,0.7692,0.128,DDR,
RC410,ATI,R300,,2007-10-17,,,130,73.0,,,300.0,300.0,,,System Shared,
RS482,ATI,R300,TSMC,2007-10-17,,,110,73.0,,,400.0,400.0,,,System Shared,
RS690,ATI,R400,,2007-02-28,0.12,,80,73.0,,,400.0,400.0,1.6,,System Shared,
RS690,ATI,R400,,2007-02-28,0.12,,80,73.0,,,400.0,400.0,1.6,,System Shared,
RS690,ATI,R400,,2007-02-28,0.12,,80,73.0,,,400.0,400.0,1.6,,System Shared,
RS690,ATI,R400,,2007-02-28,0.12,,80,73.0,,,400.0,400.0,1.6,,System Shared,
RS690,ATI,R400,,2007-02-28,0.12,,80,73.0,,,400.0,400.0,1.6,,System Shared,
Xenos Falcon,ATI,TeraScale,TSMC,2007-10-27,0.232,175,80,156.0,0.24,22.4,500.0,500.0,1.5,0.5,GDDR3,240
EE+GS-65nm,Sony,,Sony,2007-07-01,0.054,45,65,60.0,,48.0,147.0,147.0,0.8917,0.004,eDRAM,
RE+SE-65nm,Sony,,Sony,2007-08-30,,4,65,,,5.312,133.0,133.0,,0.002,eDRAM,
NV44,NVIDIA,Curie,TSMC,2008-01-16,0.075,,110,110.0,,3.2,280.0,280.0,0.6818,0.25,DDR2,
NV44,NVIDIA,Curie,TSMC,2008-01-16,0.075,,110,110.0,,3.2,280.0,280.0,0.6818,0.25,DDR2,
C73B,NVIDIA,Curie,,2008-01-13,0.112,,90,81.0,,,500.0,500.0,1.4,,System Shared,
C78,NVIDIA,Tesla,,2008-05-06,0.21,40,80,127.0,0.0384,,500.0,500.0,1.7,,System Shared,16
C78,NVIDIA,Tesla,,2008-05-06,0.21,40,80,127.0,0.0384,,500.0,500.0,1.7,,System Shared,16
C77,NVIDIA,Tesla,,2008-06-18,0.21,12,80,127.0,0.0256,,400.0,400.0,1.7,,System Shared,16
C79,NVIDIA,Tesla,,2008-06-18,0.314,12,65,144.0,0.0256,,400.0,400.0,2.2,,System Shared,16
C78,NVIDIA,Tesla,,2008-05-06,0.21,40,80,127.0,0.048,,500.0,500.0,1.7,,System Shared,16
G86S,NVIDIA,Tesla,TSMC,2008-08-01,0.21,50,80,127.0,0.02938,6.4,459.0,459.0,1.7,0.128,DDR2,16
G92,NVIDIA,Tesla,TSMC,2008-01-31,0.754,105,65,324.0,0.264,38.4,550.0,550.0,2.3,0.384,GDDR3,96
G92,NVIDIA,Tesla,TSMC,2008-01-31,0.754,105,65,324.0,0.16,51.14,500.0,500.0,2.3,0.5,GDDR3,64
G92,NVIDIA,Tesla,TSMC,2008-02-01,0.754,125,65,324.0,0.336,57.6,600.0,600.0,2.3,0.5,GDDR3,112
C78,NVIDIA,Tesla,,2008-05-06,0.21,40,80,127.0,0.0384,,500.0,500.0,1.7,,System Shared,16
C77,NVIDIA,Tesla,,2008-07-29,0.21,12,80,127.0,0.0352,,450.0,450.0,1.7,,System Shared,16
C79,NVIDIA,Tesla,,2008-07-29,0.314,12,65,144.0,0.0176,,450.0,450.0,2.2,,System Shared,8
C78,NVIDIA,Tesla,,2008-05-06,0.21,40,80,127.0,0.0384,,500.0,500.0,1.7,,System Shared,16
C79,NVIDIA,Tesla,,2008-10-15,0.314,12,65,144.0,0.0384,,450.0,450.0,2.2,,System Shared,16
G98S,NVIDIA,Tesla,UMC,2008-06-03,0.21,13,65,86.0,0.0208,6.4,529.0,529.0,2.4,0.25,DDR2,8
G98,NVIDIA,Tesla,UMC,2008-06-03,0.21,13,55,80.0,0.0208,11.23,529.0,529.0,2.6,0.25,GDDR3,8
C79,NVIDIA,Tesla,,2008-06-18,0.314,40,65,144.0,0.0352,,450.0,450.0,2.2,,System Shared,16
G98,NVIDIA,Tesla,UMC,2008-06-01,0.21,,55,80.0,0.0208,6.4,540.0,540.0,2.6,0.25,DDR2,8
G98S,NVIDIA,Tesla,UMC,2008-06-01,0.21,,65,86.0,0.0224,5.328,567.0,567.0,2.4,0.5,DDR2,8
G98S,NVIDIA,Tesla,UMC,2008-06-01,0.21,,65,86.0,0.0208,6.4,540.0,540.0,2.4,0.25,DDR2,8
G86S,NVIDIA,Tesla,TSMC,2008-02-01,0.21,13,80,127.0,0.0256,6.4,400.0,400.0,1.7,0.25,DDR2,16
G98S,NVIDIA,Tesla,UMC,2008-06-04,0.21,13,65,86.0,0.0232,6.4,580.0,580.0,2.4,0.25,DDR2,8
G98,NVIDIA,Tesla,UMC,2008-06-04,0.21,13,55,80.0,0.0232,11.23,580.0,580.0,2.6,0.25,GDDR3,8
C79,NVIDIA,Tesla,,2008-10-15,0.314,40,65,144.0,0.0352,,450.0,450.0,2.2,,System Shared,16
G96C,NVIDIA,Tesla,TSMC,2008-08-27,0.314,50,55,121.0,0.0448,12.8,550.0,550.0,2.6,0.5,DDR2,16
G96C,NVIDIA,Tesla,TSMC,2008-08-27,0.314,50,55,121.0,0.0448,12.8,550.0,550.0,2.6,0.25,DDR2,16
G96C,NVIDIA,Tesla,TSMC,2008-08-27,0.314,50,55,121.0,0.0448,12.8,550.0,550.0,2.6,0.5,GDDR3,16
C79,NVIDIA,Tesla,,2008-10-15,0.314,12,65,144.0,0.0448,,580.0,580.0,2.2,,System Shared,16
C79,NVIDIA,Tesla,,2008-10-15,0.314,12,65,144.0,0.0352,,450.0,450.0,2.2,,System Shared,16
G96,NVIDIA,Tesla,UMC,2008-07-29,0.314,40,65,144.0,0.088,16.13,550.0,550.0,2.2,0.5,DDR2,32
G96C,NVIDIA,Tesla,TSMC,2008-07-29,0.314,40,55,121.0,0.08,16.0,500.0,500.0,2.6,0.5,DDR2,32
G96,NVIDIA,Tesla,UMC,2008-07-29,0.314,50,65,144.0,0.096,32.0,600.0,600.0,2.2,0.5,GDDR3,32
G96B,NVIDIA,Tesla,UMC,2008-07-29,0.314,50,55,121.0,0.096,28.8,600.0,600.0,2.6,0.5,GDDR3,32
G96C,NVIDIA,Tesla,TSMC,2008-07-29,0.314,50,55,121.0,0.0896,25.6,550.0,550.0,2.6,0.5,GDDR3,32
G96,NVIDIA,Tesla,UMC,2008-06-03,0.314,20,65,144.0,0.04,25.6,500.0,500.0,2.2,0.5,GDDR3,16
G84,NVIDIA,Tesla,TSMC,2008-02-01,0.289,20,80,169.0,0.0608,22.4,475.0,475.0,1.7,0.5,GDDR3,32
G94,NVIDIA,Tesla,TSMC,2008-07-29,0.505,,65,240.0,0.12,48.0,500.0,500.0,2.1,0.75,DDR2,48
G92,NVIDIA,Tesla,TSMC,2008-04-28,0.754,84,65,324.0,0.264,38.4,550.0,550.0,2.3,0.384,GDDR3,96
G94,NVIDIA,Tesla,TSMC,2008-10-23,0.505,90,65,240.0,0.156,57.6,650.0,650.0,2.1,0.5,GDDR3,48
G94,NVIDIA,Tesla,TSMC,2008-02-21,0.505,95,65,240.0,0.208,57.6,650.0,650.0,2.1,0.5,GDDR3,64
G94,NVIDIA,Tesla,TSMC,2008-02-21,0.505,95,65,240.0,0.192,44.8,600.0,600.0,2.1,0.5,GDDR3,64
G94,NVIDIA,Tesla,TSMC,2008-12-22,0.505,95,65,240.0,0.192,17.02,600.0,600.0,2.1,1.0,DDR2,64
G94B,NVIDIA,Tesla,TSMC,2008-02-21,0.505,95,55,196.0,0.208,57.6,650.0,650.0,2.6,0.5,GDDR3,64
G96C,NVIDIA,Tesla,TSMC,2008-06-03,0.314,20,55,121.0,0.0688,25.6,430.0,430.0,2.6,1.0,GDDR3,32
G96C,NVIDIA,Tesla,TSMC,2008-06-04,0.314,23,55,121.0,0.08,25.34,500.0,500.0,2.6,0.5,GDDR3,32
G96C,NVIDIA,Tesla,TSMC,2008-10-25,0.314,23,55,121.0,0.08,25.34,500.0,500.0,2.6,0.5,GDDR3,32
G84,NVIDIA,Tesla,TSMC,2008-03-13,0.289,29,80,169.0,0.08,25.6,625.0,625.0,1.7,0.5,GDDR3,32
G96C,NVIDIA,Tesla,TSMC,2008-08-19,0.314,23,55,121.0,0.0848,25.6,550.0,550.0,2.6,1.0,GDDR3,32
G96,NVIDIA,Tesla,UMC,2008-07-29,0.314,45,65,144.0,0.0992,25.6,625.0,625.0,2.2,0.5,GDDR3,32
G94,NVIDIA,Tesla,TSMC,2008-07-29,0.505,60,65,240.0,0.1272,51.2,530.0,530.0,2.1,0.5,GDDR3,48
G92,NVIDIA,Tesla,TSMC,2008-07-21,0.754,125,65,324.0,0.336,57.6,600.0,600.0,2.3,0.5,GDDR3,112
G92,NVIDIA,Tesla,TSMC,2008-07-21,0.754,125,65,324.0,0.448,64.0,725.0,725.0,2.3,0.5,GDDR3,128
G92B,NVIDIA,Tesla,TSMC,2009-01-16,0.754,141,55,260.0,0.47,70.4,738.0,738.0,2.9,0.5,GDDR3,128
G92,NVIDIA,Tesla,TSMC,2008-03-18,0.754,197,65,324.0,0.384,64.0,600.0,600.0,2.3,0.5,GDDR3,128
G94,NVIDIA,Tesla,TSMC,2008-11-01,0.505,60,65,240.0,0.1696,51.2,530.0,530.0,2.1,0.5,GDDR3,64
G92,NVIDIA,Tesla,TSMC,2008-07-29,0.754,65,65,324.0,0.24,51.2,500.0,500.0,2.3,0.5,GDDR3,96
G94,NVIDIA,Tesla,TSMC,2008-08-21,0.505,75,65,240.0,0.192,51.2,600.0,600.0,2.1,1.0,GDDR3,64
G92,NVIDIA,Tesla,TSMC,2008-07-15,0.754,75,65,324.0,0.28,51.2,500.0,500.0,2.3,1.0,GDDR3,112
G94,NVIDIA,Tesla,TSMC,2008-07-15,0.505,75,65,240.0,0.192,51.14,600.0,600.0,2.1,0.5,GDDR3,64
G96C,NVIDIA,Tesla,TSMC,2008-12-12,0.314,14,55,121.0,0.08,25.34,500.0,500.0,2.6,0.25,GDDR3,32
G94B,NVIDIA,Tesla,TSMC,2008-12-12,0.505,75,55,196.0,0.144,38.02,600.0,600.0,2.6,0.5,GDDR3,48
GT200,NVIDIA,Tesla 2.0,TSMC,2008-06-16,1.4,182,65,576.0,0.4769,111.9,576.0,576.0,2.4,0.896,GDDR3,192
GT200,NVIDIA,Tesla 2.0,TSMC,2008-09-16,1.4,182,65,576.0,0.5365,111.9,576.0,576.0,2.4,0.896,GDDR3,216
GT200B,NVIDIA,Tesla 2.0,TSMC,2008-11-27,1.4,171,55,470.0,0.5365,111.9,576.0,576.0,3.0,0.896,GDDR3,216
GT200B,NVIDIA,Tesla 2.0,TSMC,2008-07-23,1.4,182,55,470.0,0.4769,111.9,576.0,576.0,3.0,0.896,GDDR3,192
GT200,NVIDIA,Tesla 2.0,TSMC,2008-06-16,1.4,236,65,576.0,0.6221,141.7,602.0,602.0,2.4,1.0,GDDR3,240
GT200B,NVIDIA,Tesla 2.0,TSMC,2008-12-23,1.4,204,55,470.0,0.7085,159.0,648.0,648.0,3.0,1.0,GDDR3,240
C79,NVIDIA,Tesla,,2008-06-18,0.314,20,65,144.0,0.0352,,450.0,450.0,2.2,,System Shared,16
GT218S,NVIDIA,Tesla 2.0,TSMC,2008-06-03,0.26,20,40,57.0,0.03424,,500.0,500.0,4.6,,System Shared,16
ION,NVIDIA,Tesla,,2008-06-03,0.282,20,65,162.0,0.0352,,450.0,450.0,1.7,,System Shared,16
ION,NVIDIA,Tesla,,2008-06-03,0.282,20,65,162.0,0.0352,,450.0,450.0,1.7,,System Shared,16
RSX-65nm,NVIDIA,Curie,Sony,2008-08-01,0.3,58,65,186.0,,20.8,550.0,550.0,1.6,0.25,GDDR3,
GT200B,NVIDIA,Tesla 2.0,TSMC,2008-11-11,1.4,150,55,470.0,0.4623,76.8,602.0,602.0,3.0,1.5,GDDR3,192
G84,NVIDIA,Tesla,TSMC,2008-09-27,0.289,42,80,169.0,0.06656000000000001,20.8,520.0,520.0,1.7,0.5,GDDR3,32
G96,NVIDIA,Tesla,UMC,2008-10-01,0.314,50,65,144.0,0.0992,25.6,625.0,625.0,2.2,0.5,GDDR3,32
G94,NVIDIA,Tesla,TSMC,2008-08-14,0.505,65,65,240.0,0.1272,51.14,530.0,530.0,2.1,0.5,GDDR3,48
G92,NVIDIA,Tesla,TSMC,2008-02-23,0.754,70,65,324.0,0.24,51.2,500.0,500.0,2.3,0.5,GDDR3,96
G98S,NVIDIA,Tesla,UMC,2008-11-06,0.21,25,65,86.0,0.01728,8.0,540.0,540.0,2.4,0.25,DDR2,8
G92,NVIDIA,Tesla,TSMC,2008-01-08,0.754,78,65,324.0,0.28,51.2,500.0,500.0,2.3,0.5,GDDR3,112
G92,NVIDIA,Tesla,TSMC,2008-08-14,0.754,75,65,324.0,0.352,51.2,550.0,550.0,2.3,1.0,GDDR3,128
G98S,NVIDIA,Tesla,UMC,2008-08-15,0.21,20,65,86.0,0.0232,6.4,580.0,580.0,2.4,0.25,GDDR3,8
G92B,NVIDIA,Tesla,TSMC,2008-08-14,0.754,100,55,260.0,0.4224,64.0,675.0,675.0,2.9,1.0,GDDR3,128
C79,NVIDIA,Tesla,,2008-11-06,0.314,38,65,144.0,0.0448,,580.0,580.0,2.2,,System Shared,16
G92,NVIDIA,Tesla,TSMC,2008-04-18,0.754,226,65,324.0,0.384,51.2,600.0,600.0,2.3,1.0,GDDR3,128
GT200B,NVIDIA,Tesla 2.0,TSMC,2008-11-11,1.4,150,55,470.0,0.4623,76.8,602.0,602.0,3.0,1.5,GDDR3,192
RV770,AMD,TeraScale,TSMC,2008-06-16,0.956,150,55,256.0,1.0,63.55,625.0,625.0,3.7,1.0,GDDR3,800
RV770,AMD,TeraScale,TSMC,2008-11-13,0.956,160,55,256.0,1.2,115.2,750.0,750.0,3.7,2.0,GDDR5,800
Cedarview,Intel,PowerVR SGX545,Intel,2008-10-01,,13,65,,0.0256,,400.0,400.0,,,System Shared,32
Cedarview,Intel,PowerVR SGX545,Intel,2008-10-01,,13,65,,0.04096,,640.0,640.0,,,System Shared,32
Poulsbo,Intel,PowerVR SGX535,Intel,2008-03-02,,,130,,0.0128,,200.0,200.0,,,System Shared,32
Eaglelake,Intel,Generation 5.0,Intel,2008-06-01,,13,65,,0.08528,,533.0,533.0,,,System Shared,80
Eaglelake,Intel,Generation 5.0,Intel,2008-10-01,,13,65,,0.064,,400.0,400.0,,,System Shared,80
Cantiga,Intel,Generation 5.0,Intel,2008-09-01,,13,65,,0.08528,,533.0,533.0,,,System Shared,80
Montevina,Intel,Generation 5.0,Intel,2008-10-01,,13,65,,0.1024,,640.0,640.0,,,System Shared,80
Theater 650 PRO,ATI,TeraScale,TSMC,2008-06-28,,55,55,,0.174,19.2,725.0,725.0,,0.5,DDR2,120
RV620,ATI,TeraScale,TSMC,2008-01-01,0.181,15,55,67.0,0.04,8.0,500.0,500.0,2.7,0.25,DDR2,40
RV620,ATI,TeraScale,TSMC,2008-01-01,0.181,15,55,67.0,0.04,8.0,500.0,500.0,2.7,0.25,DDR2,40
RV380,ATI,R300,TSMC,2008-01-01,0.075,20,130,92.0,,16.0,500.0,500.0,0.8152,0.128,DDR,
RV380,ATI,R300,TSMC,2008-01-01,0.075,20,130,92.0,,6.496,250.0,250.0,0.8152,0.064,DDR3,
RV620,ATI,TeraScale,TSMC,2008-01-01,0.181,15,55,67.0,0.04,8.0,500.0,500.0,2.7,0.25,DDR2,40
RV620,ATI,TeraScale,TSMC,2008-08-08,0.181,32,55,67.0,0.064,15.2,800.0,800.0,2.7,0.25,GDDR3,40
RV730,ATI,TeraScale,TSMC,2008-09-11,0.514,48,55,146.0,0.352,22.4,550.0,550.0,3.5,0.25,GDDR3,320
RV730,ATI,TeraScale,TSMC,2008-08-08,0.514,56,55,146.0,0.448,28.8,700.0,700.0,3.5,0.5,GDDR3,320
RV770,ATI,TeraScale,TSMC,2008-09-11,0.956,151,55,256.0,1.2,108.8,750.0,750.0,3.7,1.0,GDDR5,800
RV770,ATI,TeraScale,TSMC,2008-07-28,0.956,151,55,256.0,1.2,115.2,750.0,750.0,3.7,2.0,GDDR5,800
M86,ATI,TeraScale,TSMC,2008-01-07,0.378,,55,135.0,0.144,22.4,600.0,600.0,2.8,0.5,GDDR3,120
M82,ATI,TeraScale,TSMC,2008-07-25,0.181,7,55,67.0,0.032,6.4,400.0,400.0,2.7,0.25,DDR2,40
M82,ATI,TeraScale,TSMC,2008-07-25,0.181,12,55,67.0,0.036,6.4,450.0,450.0,2.7,0.25,DDR2,40
M82,ATI,TeraScale,TSMC,2008-01-07,0.181,,55,67.0,0.04,6.4,500.0,500.0,2.7,0.25,DDR2,40
M82,ATI,TeraScale,TSMC,2008-01-07,0.181,,55,67.0,0.0544,6.4,680.0,680.0,2.7,0.25,DDR2,40
M86,ATI,TeraScale,TSMC,2008-01-07,0.378,,55,135.0,0.12,22.4,500.0,500.0,2.8,0.5,GDDR3,120
M86,ATI,TeraScale,TSMC,2008-01-07,0.378,30,55,135.0,0.16319999999999998,25.6,680.0,680.0,2.8,0.25,GDDR3,120
M88,ATI,TeraScale,TSMC,2008-06-04,0.666,35,55,192.0,0.3712,48.0,580.0,580.0,3.5,0.5,GDDR3,320
M88,ATI,TeraScale,TSMC,2008-06-04,0.666,70,55,192.0,0.3712,48.0,580.0,580.0,3.5,0.5,GDDR3,320
M88,ATI,TeraScale,TSMC,2008-06-04,0.666,55,55,192.0,0.4224,54.4,660.0,660.0,3.5,0.5,GDDR3,320
M88,ATI,TeraScale,TSMC,2008-09-01,0.666,110,55,192.0,0.4224,54.4,660.0,660.0,3.5,0.5,GDDR3,320
RS740,ATI,R400,,2008-03-04,0.12,,55,73.0,,,400.0,400.0,1.6,,System Shared,
RS780,ATI,TeraScale,,2008-03-04,0.18,,65,85.0,0.028,,350.0,350.0,2.1,,System Shared,40
RS780,ATI,TeraScale,,2008-08-15,0.18,,65,85.0,0.028,,350.0,350.0,2.1,,System Shared,40
RV610,ATI,TeraScale,TSMC,2008-02-19,0.18,20,65,85.0,0.03184,7.92,398.0,398.0,2.1,0.25,DDR2,40
RV630,ATI,TeraScale,TSMC,2008-02-21,0.39,45,65,153.0,0.168,25.6,700.0,700.0,2.5,0.25,GDDR3,120
RS780,ATI,TeraScale,,2008-03-04,0.18,,65,85.0,0.04,,500.0,500.0,2.1,,System Shared,40
RS780,ATI,TeraScale,,2008-08-06,0.18,,65,85.0,0.04,,500.0,500.0,2.1,,System Shared,40
RV620,ATI,TeraScale,TSMC,2008-01-23,0.181,25,55,67.0,0.048,8.0,600.0,600.0,2.7,0.5,DDR2,40
RV620,ATI,TeraScale,TSMC,2008-01-23,0.181,25,55,67.0,0.048,6.4,600.0,600.0,2.7,0.5,DDR2,40
RV620,ATI,TeraScale,TSMC,2008-01-23,0.181,30,55,67.0,0.064,15.2,800.0,800.0,2.7,0.25,GDDR3,40
RV620,ATI,TeraScale,TSMC,2008-08-04,0.181,30,55,67.0,0.04752,6.336,594.0,594.0,2.7,0.5,DDR2,40
RV635,ATI,TeraScale,TSMC,2008-01-20,0.378,65,55,135.0,0.174,25.6,725.0,725.0,2.8,0.25,GDDR3,120
RV635,ATI,TeraScale,TSMC,2008-01-23,0.378,65,55,135.0,0.174,16.0,725.0,725.0,2.8,0.5,DDR2,120
RV670,ATI,TeraScale,TSMC,2008-03-30,0.666,75,55,192.0,0.4288,26.56,670.0,670.0,3.5,0.25,GDDR3,320
RV635,ATI,TeraScale,TSMC,2008-10-05,0.378,65,55,135.0,0.1733,12.67,722.0,722.0,2.8,0.5,DDR2,120
RV635,ATI,TeraScale,TSMC,2008-09-11,0.378,65,55,135.0,0.191,22.18,796.0,796.0,2.8,0.5,GDDR3,120
RV670,ATI,TeraScale,TSMC,2008-04-01,0.666,75,55,192.0,0.4275,26.5,668.0,668.0,3.5,0.25,GDDR3,320
RV670,ATI,TeraScale,TSMC,2008-01-03,0.666,75,55,192.0,0.4275,52.99,668.0,668.0,3.5,0.5,GDDR3,320
RV670,ATI,TeraScale,TSMC,2008-04-04,0.666,140,55,192.0,0.42819999999999997,52.99,669.0,669.0,3.5,0.5,GDDR3,320
RV670,ATI,TeraScale,TSMC,2008-06-12,0.666,106,55,192.0,0.4973,72.06,777.0,777.0,3.5,0.5,GDDR4,320
R680,ATI,TeraScale,TSMC,2008-01-26,0.666,165,55,192.0,0.528,57.66,825.0,825.0,3.5,0.5,GDDR3,320
RV710,ATI,TeraScale,TSMC,2008-09-30,0.242,20,55,73.0,0.096,6.4,600.0,600.0,3.3,0.5,DDR3,80
RV710,ATI,TeraScale,TSMC,2008-09-30,0.242,20,55,73.0,0.096,10.4,600.0,600.0,3.3,0.5,DDR3,80
RV710,ATI,TeraScale,TSMC,2008-09-30,0.242,20,55,73.0,0.096,6.4,600.0,600.0,3.3,0.5,DDR2,80
RV710,ATI,TeraScale,TSMC,2008-09-30,0.242,20,55,73.0,0.096,6.4,600.0,600.0,3.3,0.5,DDR2,80
RV710,ATI,TeraScale,TSMC,2008-09-30,0.242,25,55,73.0,0.096,10.48,600.0,600.0,3.3,0.25,DDR2,80
RV710,ATI,TeraScale,TSMC,2008-11-25,0.242,25,55,73.0,0.104,8.0,650.0,650.0,3.3,1.0,DDR2,80
RV730,ATI,TeraScale,TSMC,2008-09-10,0.514,48,55,146.0,0.384,22.4,600.0,600.0,3.5,0.25,GDDR3,320
RV730,ATI,TeraScale,TSMC,2008-09-10,0.514,48,55,146.0,0.384,12.8,600.0,600.0,3.5,0.5,DDR2,320
RV730,ATI,TeraScale,TSMC,2008-09-10,0.514,59,55,146.0,0.48,32.0,750.0,750.0,3.5,0.5,GDDR3,320
RV730,ATI,TeraScale,TSMC,2008-09-10,0.514,118,55,146.0,0.48,22.4,750.0,750.0,3.5,0.5,GDDR3,320
RV730,ATI,TeraScale,TSMC,2008-09-10,0.514,59,55,146.0,0.48,25.6,750.0,750.0,3.5,1.0,GDDR3,320
RV670,ATI,TeraScale,TSMC,2008-12-26,0.666,110,55,192.0,0.42819999999999997,25.34,669.0,669.0,3.5,1.0,DDR2,320
RV770,ATI,TeraScale,TSMC,2008-10-21,0.956,95,55,256.0,0.736,57.6,575.0,575.0,3.7,0.5,GDDR3,640
RV770,ATI,TeraScale,TSMC,2008-06-25,0.956,110,55,256.0,1.0,63.55,625.0,625.0,3.7,0.5,GDDR3,800
R700,ATI,TeraScale,TSMC,2008-11-07,0.956,250,55,256.0,1.0,63.68,625.0,625.0,3.7,0.5,GDDR3,800
RV770,ATI,TeraScale,TSMC,2008-06-25,0.956,150,55,256.0,1.2,115.2,750.0,750.0,3.7,0.5,GDDR5,800
R700,ATI,TeraScale,TSMC,2008-08-12,0.956,286,55,256.0,1.2,115.2,750.0,750.0,3.7,1.0,GDDR5,800
RS780,ATI,TeraScale,,2008-03-04,0.18,,65,85.0,0.04,,500.0,500.0,2.1,,System Shared,40
Xenos Jasper,ATI,TeraScale,TSMC,2008-08-01,0.232,150,65,121.0,0.24,22.4,500.0,500.0,1.9,0.5,GDDR3,240
GT218S,NVIDIA,Tesla 2.0,TSMC,2009-11-26,0.26,31,40,57.0,0.04486,6.4,589.0,589.0,4.6,0.5,DDR2,16
GT218S,NVIDIA,Tesla 2.0,TSMC,2009-10-12,0.26,31,40,57.0,0.03936,6.4,520.0,520.0,4.6,0.5,DDR3,16
GT216,NVIDIA,Tesla 2.0,TSMC,2009-09-04,0.486,31,40,100.0,0.0352,6.4,475.0,475.0,4.9,1.0,DDR2,16
GT216,NVIDIA,Tesla 2.0,TSMC,2009-10-12,0.486,31,40,100.0,0.0352,6.4,475.0,475.0,4.9,0.5,DDR2,16
GT218S,NVIDIA,Tesla 2.0,TSMC,2009-10-12,0.26,31,40,57.0,0.03936,6.4,520.0,520.0,4.6,1.0,DDR3,16
GT218S,NVIDIA,Tesla 2.0,TSMC,2009-11-27,0.26,31,40,57.0,0.04486,5.328,589.0,589.0,4.6,0.5,DDR2,16
G92,NVIDIA,Tesla,TSMC,2009-05-27,0.754,140,65,324.0,0.2784,44.8,580.0,580.0,2.3,0.5,GDDR3,96
G98S,NVIDIA,Tesla,UMC,2009-03-10,0.21,35,65,86.0,0.0208,6.4,540.0,540.0,2.4,0.25,DDR2,8
C79,NVIDIA,Tesla,,2009-01-08,0.314,14,65,144.0,0.0352,,450.0,450.0,2.2,,System Shared,16
G98S,NVIDIA,Tesla,UMC,2009-09-01,0.21,14,65,86.0,0.0256,8.0,640.0,640.0,2.4,0.5,DDR2,8
G98S,NVIDIA,Tesla,UMC,2009-01-08,0.21,14,65,86.0,0.0256,11.2,640.0,640.0,2.4,0.5,GDDR3,8
G96C,NVIDIA,Tesla,TSMC,2009-01-08,0.314,14,55,121.0,0.032,11.2,400.0,400.0,2.6,1.0,GDDR3,16
C79,NVIDIA,Tesla,,2009-01-08,0.314,14,65,144.0,0.0352,,450.0,450.0,2.2,,System Shared,16
G96C,NVIDIA,Tesla,TSMC,2009-05-26,0.314,31,55,121.0,0.0432,8.064,550.0,550.0,2.6,0.5,DDR2,16
GT218S,NVIDIA,Tesla 2.0,TSMC,2009-08-24,0.26,31,40,57.0,0.04486,6.4,589.0,589.0,4.6,0.128,DDR2,16
GT218S,NVIDIA,Tesla 2.0,TSMC,2009-06-15,0.26,14,40,57.0,0.046979999999999994,12.64,606.0,606.0,4.6,0.5,GDDR3,16
G96C,NVIDIA,Tesla,TSMC,2009-01-20,0.314,50,55,121.0,0.0896,25.6,550.0,550.0,2.6,0.5,GDDR3,32
G96C,NVIDIA,Tesla,TSMC,2009-03-10,0.314,50,55,121.0,0.1175,16.13,738.0,738.0,2.6,0.5,DDR2,32
G96C,NVIDIA,Tesla,TSMC,2009-06-15,0.314,14,55,121.0,0.08,16.0,500.0,500.0,2.6,1.0,DDR2,32
G94B,NVIDIA,Tesla,TSMC,2009-03-10,0.505,75,55,196.0,0.12,24.0,500.0,500.0,2.6,0.5,DDR2,48
G96C,NVIDIA,Tesla,TSMC,2009-01-08,0.314,23,55,121.0,0.096,25.6,600.0,600.0,2.6,1.0,GDDR3,32
G94B,NVIDIA,Tesla,TSMC,2009-03-10,0.505,105,55,196.0,0.208,57.6,650.0,650.0,2.6,1.0,GDDR3,64
G94,NVIDIA,Tesla,TSMC,2010-01-26,0.505,58,65,240.0,0.144,22.4,600.0,600.0,2.1,1.0,GDDR3,48
GT215,NVIDIA,Tesla 2.0,TSMC,2009-10-12,0.727,58,40,144.0,0.09715,22.4,506.0,506.0,5.0,0.5,GDDR3,48
G96C,NVIDIA,Tesla,TSMC,2009-06-15,0.314,14,55,121.0,0.088,16.0,550.0,550.0,2.6,1.0,DDR2,32
G94B,NVIDIA,Tesla,TSMC,2009-10-12,0.505,75,55,196.0,0.156,57.6,650.0,650.0,2.6,0.5,GDDR3,48
G92B,NVIDIA,Tesla,TSMC,2009-04-27,0.754,75,55,260.0,0.24,24.0,500.0,500.0,2.9,1.5,DDR2,96
