Model,Manufacturer,Architecture,Foundry,ReleaseDate,TransistorCount_B,TDP_W,ProcessSize_nm,DieSize_mm2,TFLOPS,MemoryBandwidth_GBs,BaseClock_MHz,BoostClock_MHz,TransistorDensity_M_mm2,MemorySize_GB,MemoryType,ShadingUnits
GK208,NVIDIA,Kepler 2.0,TSMC,2013-04-01,1.02,33,28,87.0,0.4823,14.4,575.0,628.0,11.7,2.0,DDR3,384
GK208,NVIDIA,Kepler 2.0,TSMC,2013-08-26,1.02,33,28,87.0,0.7933,14.4,980.0,1033.0,11.7,2.0,DDR3,384
GK107,NVIDIA,Kepler,TSMC,2013-04-01,1.27,45,28,118.0,0.6874,28.83,810.0,895.0,10.8,2.0,DDR3,384
GK107,NVIDIA,Kepler,TSMC,2013-08-26,1.27,33,28,118.0,0.7027,28.8,837.0,915.0,10.8,2.0,DDR3,384
GK107,NVIDIA,Kepler,TSMC,2013-04-01,1.27,45,28,118.0,0.7027,28.8,837.0,915.0,10.8,2.0,DDR3,384
GK107,NVIDIA,Kepler,TSMC,2013-01-09,1.27,50,28,118.0,0.7427,64.19,941.0,967.0,10.8,2.0,GDDR5,384
GK107,NVIDIA,Kepler,TSMC,2013-11-08,1.27,50,28,118.0,0.7112,80.26,926.0,926.0,10.8,1.0,GDDR5,384
GK107,NVIDIA,Kepler,TSMC,2013-06-25,1.27,50,28,118.0,0.7834,86.4,980.0,1020.0,10.8,2.0,GDDR5,384
GK107,NVIDIA,Kepler,TSMC,2013-11-08,1.27,50,28,118.0,0.8332999999999999,80.0,1085.0,1085.0,10.8,1.0,GDDR5,384
GK106S,NVIDIA,Kepler,TSMC,2013-04-22,2.54,65,28,221.0,0.9492,64.0,824.0,824.0,11.5,1.0,GDDR5,576
GK106,NVIDIA,Kepler,TSMC,2013-03-26,2.54,134,28,221.0,1.585,144.2,980.0,1032.0,11.5,2.0,GDDR5,768
GK106,NVIDIA,Kepler,TSMC,2013-03-31,2.54,110,28,221.0,1.4254,86.4,928.0,928.0,11.5,2.0,GDDR5,768
GK107,NVIDIA,Kepler,TSMC,2013-04-01,1.27,50,28,118.0,0.7296,80.0,950.0,950.0,10.8,0.5,GDDR5,384
GK104,NVIDIA,Kepler,TSMC,2013-04-01,3.54,100,28,294.0,1.933,160.0,719.0,719.0,12.0,1.0,GDDR5,1344
GK104,NVIDIA,Kepler,TSMC,2013-04-03,3.54,195,28,294.0,3.25,192.3,1006.0,1058.0,12.0,2.0,GDDR5,1536
GK104,NVIDIA,Kepler,TSMC,2013-06-25,3.54,170,28,294.0,2.378,192.3,980.0,1032.0,12.0,2.0,GDDR5,1152
GK104,NVIDIA,Kepler,TSMC,2016-11-06,3.54,170,28,294.0,2.812,211.2,993.0,1046.0,12.0,2.0,GDDR5,1344
GK104,NVIDIA,Kepler,TSMC,2013-08-25,3.54,130,28,294.0,2.046,179.2,823.0,888.0,12.0,1.5,GDDR5,1152
GK104,NVIDIA,Kepler,TSMC,2013-09-27,3.54,170,28,294.0,2.634,192.3,915.0,980.0,12.0,2.0,GDDR5,1344
GK104,NVIDIA,Kepler,TSMC,2013-08-25,3.54,170,28,294.0,2.634,192.3,915.0,980.0,12.0,2.0,GDDR5,1344
GK104,NVIDIA,Kepler,TSMC,2013-11-19,3.54,250,28,294.0,2.47,192.3,1006.0,1072.0,12.0,2.0,GDDR5,1152
GK106S,NVIDIA,Kepler,TSMC,2013-05-30,2.54,55,28,221.0,1.1044,64.13,628.0,719.0,11.5,2.0,GDDR5,768
GK106,NVIDIA,Kepler,TSMC,2013-05-30,2.54,75,28,221.0,1.3256,64.13,797.0,863.0,11.5,2.0,GDDR5,768
GK104,NVIDIA,Kepler,TSMC,2013-05-30,3.54,230,28,294.0,3.333,224.4,1046.0,1085.0,12.0,2.0,GDDR5,1536
GK106,NVIDIA,Kepler,TSMC,2013-05-30,2.54,75,28,221.0,1.53,96.19,706.0,797.0,11.5,3.0,GDDR5,960
GK104,NVIDIA,Kepler,TSMC,2013-11-08,3.54,100,28,294.0,2.142,160.0,797.0,797.0,12.0,2.0,GDDR5,1344
GK110,NVIDIA,Kepler,TSMC,2013-05-23,7.08,250,28,561.0,4.155999999999999,288.4,863.0,902.0,12.6,3.0,GDDR5,2304
GK110B,NVIDIA,Kepler,TSMC,2013-09-10,7.08,250,28,561.0,4.155999999999999,288.4,863.0,902.0,12.6,6.0,GDDR5,2304
GK110B,NVIDIA,Kepler,TSMC,2013-09-10,7.08,250,28,561.0,4.155999999999999,288.4,863.0,902.0,12.6,3.0,GDDR5,2304
GK110B,NVIDIA,Kepler,TSMC,2013-11-07,7.08,250,28,561.0,5.345,336.6,875.0,928.0,12.6,3.0,GDDR5,2880
GK104,NVIDIA,Kepler,TSMC,2013-05-11,3.54,122,28,294.0,2.448,160.0,771.0,797.0,12.0,4.0,GDDR5,1536
GK104,NVIDIA,Kepler,TSMC,2013-11-08,3.54,122,28,294.0,2.408,160.0,784.0,784.0,12.0,4.0,GDDR5,1536
GK110,NVIDIA,Kepler,TSMC,2013-02-19,7.08,250,28,561.0,4.709,288.4,836.0,876.0,12.6,6.0,GDDR5,2688
GK107,NVIDIA,Kepler,TSMC,2013-03-18,1.27,130,28,118.0,0.32639999999999997,28.51,850.0,850.0,10.8,4.0,DDR3,192
GK107,NVIDIA,Kepler,TSMC,2013-06-28,1.27,130,28,118.0,0.32639999999999997,28.51,850.0,850.0,10.8,0.25,DDR3,192
GK107,NVIDIA,Kepler,TSMC,2013-06-28,1.27,130,28,118.0,0.32639999999999997,28.51,850.0,850.0,10.8,1.0,DDR3,192
GK107,NVIDIA,Kepler,TSMC,2013-06-28,1.27,130,28,118.0,0.32639999999999997,28.51,850.0,850.0,10.8,1.0,DDR3,192
GK107,NVIDIA,Kepler,TSMC,2013-06-28,1.27,130,28,118.0,0.32639999999999997,28.51,850.0,850.0,10.8,1.0,DDR3,192
GK104,NVIDIA,Kepler,TSMC,2013-05-11,3.54,225,28,294.0,2.289,160.0,745.0,745.0,12.0,4.0,GDDR5,1536
GK104,NVIDIA,Kepler,TSMC,2013-06-28,3.54,225,28,294.0,2.289,160.0,745.0,745.0,12.0,0.25,GDDR5,1536
GK104,NVIDIA,Kepler,TSMC,2013-06-28,3.54,225,28,294.0,2.289,160.0,745.0,745.0,12.0,1.0,GDDR5,1536
GK104,NVIDIA,Kepler,TSMC,2013-06-28,3.54,225,28,294.0,2.289,160.0,745.0,745.0,12.0,2.0,GDDR5,1536
GK104,NVIDIA,Kepler,TSMC,2013-06-28,3.54,225,28,294.0,2.289,160.0,745.0,745.0,12.0,4.0,GDDR5,1536
GK107,NVIDIA,Kepler,TSMC,2013-07-23,1.27,225,28,118.0,0.7327,80.0,954.0,954.0,10.8,1.0,GDDR5,384
GK104,NVIDIA,Kepler,TSMC,2013-07-23,3.54,225,28,294.0,2.289,160.0,745.0,745.0,12.0,4.0,GDDR5,1536
GF119S,NVIDIA,Fermi 2.0,TSMC,2013-03-10,0.292,19,40,79.0,0.1004,14.0,523.0,523.0,3.7,1.0,DDR3,48
RSX-28nm,NVIDIA,Curie,Sony,2013-06-03,0.302,21,28,68.0,,20.8,550.0,550.0,4.4,0.25,GDDR3,
GK107,NVIDIA,Kepler,TSMC,2013-07-23,1.27,45,28,118.0,0.5422,44.8,706.0,706.0,10.8,2.0,GDDR5,384
GK107,NVIDIA,Kepler,TSMC,2013-03-01,1.27,51,28,118.0,0.7327,64.0,954.0,954.0,10.8,2.0,GDDR5,384
GK107,NVIDIA,Kepler,TSMC,2013-03-01,1.27,51,28,118.0,0.7327,64.0,954.0,954.0,10.8,2.0,GDDR5,384
GK106S,NVIDIA,Kepler,TSMC,2013-07-23,2.54,55,28,221.0,0.7684,48.13,667.0,667.0,11.5,2.0,GDDR5,576
GK104,NVIDIA,Kepler,TSMC,2013-07-23,3.54,75,28,294.0,1.0844,102.4,706.0,706.0,12.0,4.0,GDDR5,768
GK106,NVIDIA,Kepler,TSMC,2013-03-01,2.54,80,28,221.0,1.2442,134.8,810.0,810.0,11.5,3.0,GDDR5,768
GK104,NVIDIA,Kepler,TSMC,2013-07-23,3.54,100,28,294.0,1.627,102.4,706.0,706.0,12.0,4.0,GDDR5,1152
GK104,NVIDIA,Kepler,TSMC,2013-01-25,3.54,122,28,294.0,2.169,172.8,706.0,706.0,12.0,4.0,GDDR5,1536
GK104,NVIDIA,Kepler,TSMC,2013-07-23,3.54,100,28,294.0,2.369,115.2,771.0,771.0,12.0,8.0,GDDR5,1536
GK208,NVIDIA,Kepler 2.0,TSMC,2013-07-23,1.02,30,28,87.0,0.3414,19.2,889.0,889.0,11.7,1.0,GDDR5,192
GK107,NVIDIA,Kepler,TSMC,2013-03-01,1.27,41,28,118.0,0.3364,28.51,876.0,876.0,10.8,1.0,DDR3,192
GK110B,NVIDIA,Kepler,TSMC,2013-07-23,7.08,225,28,561.0,5.196,288.4,797.0,902.0,12.6,12.0,GDDR5,2880
GK110,NVIDIA,Kepler,TSMC,2013-07-23,7.08,239,28,561.0,5.196,288.4,902.0,902.0,12.6,12.0,GDDR5,2880
GK208,NVIDIA,Kepler 2.0,TSMC,2013-07-23,1.02,30,28,87.0,0.3663,20.8,954.0,954.0,11.7,1.0,GDDR5,192
Wayne,NVIDIA,VLIW Vec4,TSMC,2013-08-01,0.011,20,28,85.0,,7.464,672.0,672.0,0.12940000000000002,0.5,LPDDR3,
Wayne,NVIDIA,VLIW Vec4,TSMC,2013-02-19,0.011,20,28,85.0,,7.464,660.0,660.0,0.12940000000000002,0.5,LPDDR3,
GK110,NVIDIA,Kepler,TSMC,2013-01-05,7.08,225,28,561.0,3.524,208.0,706.0,706.0,12.6,5.0,GDDR5,2496
GK110,NVIDIA,Kepler,TSMC,2013-02-18,7.08,225,28,561.0,2.87,208.0,575.0,575.0,12.6,5.0,GDDR5,2496
GK180,NVIDIA,Kepler,TSMC,2013-10-08,7.08,245,28,561.0,5.046,288.4,745.0,876.0,12.6,12.0,GDDR5,2880
